Gender,Age,Height_cm,Weight_kg,Duration_min,Heart_Rate_bpm,Body_Temp_C,Calories_Burned
Male,64,176.55610398252892,54.91257396695278,29,115,38.12999261723111,147.0
Female,29,185.27723619523763,77.39615050576117,111,92,37.92594971909216,126.0
Male,33,166.4289763019226,64.83724392174304,33,170,38.040882799386516,161.0
Male,41,177.94383417979176,73.33519542342398,73,123,37.25597629967461,177.0
Male,36,175.59159288903186,65.73483766857603,89,150,37.41379531300276,157.0
Female,25,192.5288688221975,56.29206593559854,103,151,36.63309320387667,135.0
Male,48,164.9516943515505,80.79004972439701,107,157,37.219937965466706,194.0
Male,38,177.95071616805785,74.2560485696288,74,155,37.89519676931948,174.0
Male,34,153.73988908223447,84.18943679530798,97,115,37.7820939087992,191.0
Female,40,165.04141589263187,86.91656861998291,97,140,37.01023394503485,134.0
Male,54,173.53392837596908,93.37888105633522,82,160,38.141172710117544,195.0
Male,33,183.93159969089783,77.00230118163998,95,119,38.98653764268514,170.0
Male,23,157.74066635015797,94.02931536904812,85,172,37.04863777271068,216.0
Male,25,177.8609064074111,60.36338238913569,26,106,37.39705909897806,139.0
Female,42,169.3677654351704,88.63439743842197,98,80,37.18920228722429,132.0
Male,35,154.78472346607688,81.8908562449178,101,113,37.45255712190346,203.0
Female,42,171.8158684594879,78.49638978772181,70,147,37.636953000240915,131.0
Female,29,187.09161232978212,81.67098351244675,24,167,37.15133353070624,121.0
Female,32,158.79577340088383,60.58891682496807,103,100,37.361540102964085,115.0
Male,43,168.90062284629818,57.04879785112466,60,112,37.54362159929639,128.0
Female,58,160.13361015360434,100.64742279115498,36,86,37.73580098300378,111.0
Male,62,165.31417068089985,72.46916732704095,95,144,38.23324645249267,184.0
Female,43,184.32170143524633,72.25509867289949,83,82,37.49276057066763,132.0
Female,64,167.2847552450862,58.46535788638062,70,130,37.219082182405174,115.0
Female,49,184.01565737515327,52.77332541754745,67,158,37.84816957384944,109.0
Female,27,181.09054047931588,73.67521681781577,40,174,37.700086439486405,127.0
Female,33,166.3726208651555,69.87618117736908,100,133,37.40358620208764,148.0
Female,24,164.9740053939377,75.02601535113676,21,159,37.74250836241341,119.0
Female,34,161.040011931855,76.30730910573263,55,153,37.30842571063708,144.0
Female,40,160.69118805806596,112.3419162189104,40,172,37.23480799047278,146.0
Male,43,173.53207394507842,69.92130028891567,41,138,36.550341422603424,169.0
Male,38,169.80214684785034,98.6991016191517,41,85,37.33603844630221,163.0
Female,39,163.76394565070794,99.63036322567417,114,108,36.61873850957473,163.0
Female,24,154.5123707787672,86.30436427907976,118,96,37.180298075582016,146.0
Female,31,171.06178767822212,71.47310501176332,108,139,37.78974036829866,145.0
Male,32,165.30447820938667,54.57791495800906,62,101,36.7474151630822,151.0
Female,24,168.04702304417907,82.1691581600086,70,103,37.405077527916816,133.0
Male,26,173.04661828698082,90.28218119551417,55,160,37.53273683388365,193.0
Male,68,144.98197138612136,101.21531196424476,94,164,37.38070289783438,189.0
Male,65,154.66725396290875,60.75063068629827,83,130,37.259332586379756,165.0
Male,25,192.9644307680519,71.34710416222099,89,129,37.66269440677632,200.0
Male,67,164.9338949330038,60.842031143657294,16,90,37.732049600283304,119.0
Female,40,144.8256689760247,65.49783011344616,13,135,37.50076306426981,106.0
Female,46,155.50059820483747,84.9658130135344,100,150,37.287119541098534,153.0
Female,35,194.84467368641432,64.81042845951396,61,121,37.93236796652506,96.0
Female,48,162.9700253973016,62.63593234024486,98,118,36.844629969875875,121.0
Female,47,181.59015244897157,86.95493795583411,40,148,37.84368927923761,119.0
Male,69,171.21117998337206,81.7610818506532,84,127,37.70984719566083,179.0
Female,56,165.1503296250103,80.25016796902761,93,136,37.599513421906636,128.0
Female,52,177.75445470763094,65.20668962701401,45,100,37.49505225213668,94.0
Male,35,146.15643324643713,94.39534917322052,63,161,36.555015600543825,195.0
Female,59,155.58867380143397,75.21735295979687,63,178,38.19367618100586,146.0
Male,56,165.0764898786044,110.70285208132154,26,99,37.919335524442594,158.0
Female,34,156.57095601730393,77.41749254205067,118,94,37.019304912052846,145.0
Male,31,164.1922221149603,40.0,84,148,37.87940484250781,166.0
Female,48,178.53713045682827,40.0,39,156,37.59441984976181,96.0
Female,41,171.32136721335982,84.35924912768203,108,130,37.208498985271774,149.0
Male,52,183.3061703550959,94.50741228496209,114,155,38.09589685869477,221.0
Male,61,171.95375284351744,63.24257805114226,111,141,37.28458037057956,190.0
Male,62,179.92460831494526,106.51468159165726,31,164,38.17806329979811,171.0
Male,51,169.35929699871502,99.94498405491154,52,116,37.76714018247506,177.0
Male,20,164.09724516640216,78.15820145161722,36,85,37.978279363212174,152.0
Male,54,184.8056805554189,83.09180913534198,46,150,37.78954268653673,175.0
Male,60,162.90649712063933,88.41795326082774,55,105,37.766365393879774,168.0
Male,57,173.438448231243,103.34992345980773,44,87,37.607615215823216,174.0
Female,43,177.68897363224474,85.23203950118372,13,152,37.13659052647237,131.0
Female,40,178.41492704470858,77.81897478406724,89,170,37.5312628611724,144.0
Male,61,158.3455732977998,85.08451796379973,89,83,37.95819542202058,179.0
Female,56,180.51950405828265,83.0604042217384,94,100,37.85962985579281,145.0
Female,32,160.2104475389273,88.86615280912491,35,110,37.75062673243015,97.0
Female,66,178.10703655349994,51.44965060380695,109,100,36.452123343452,115.0
Female,21,175.351734710491,79.73780174921183,28,104,37.39338794054637,88.0
Male,46,178.18630661779898,81.90660761369604,90,94,37.3408553893251,201.0
Female,39,157.94996478900973,73.90729249421742,54,114,36.948371215969196,118.0
Male,42,175.87929742734391,86.76249666326338,35,128,37.95187881056864,171.0
Female,30,180.85593676408172,103.81751430853562,31,122,36.487345653445225,110.0
Female,35,171.93395783161742,77.0732569665666,67,120,37.918317873950656,119.0
Female,50,161.81383320395423,85.37581621061535,72,116,38.164619124701616,124.0
Male,33,179.1974761432799,99.0939714067733,37,136,37.39507913086557,200.0
Female,62,171.13919628100768,77.42346758912784,74,121,37.46283052801116,130.0
Male,59,153.25555736172305,61.67305196461786,53,126,37.98377961784667,135.0
Female,61,161.03810537683339,84.23668273631887,109,171,37.11817267328784,166.0
Male,19,164.73705468773025,41.97500794802886,52,140,37.83038823838623,133.0
